11:56:26: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 51] Logger initialized
11:56:26: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 61] Command created
11:56:26: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:26: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 4.00) m/s
11:56:27: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:27: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 1.00) m/s
11:56:27: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:27: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 0.67) m/s
11:56:28: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:28: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 0.50) m/s
11:56:28: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:28: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 0.40) m/s
11:56:29: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:29: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 0.33) m/s
11:56:29: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:29: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 0.29) m/s
11:56:30: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:30: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 2.50, 0.25) m/s
11:56:30: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:30: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 4.44, 0.22) m/s
11:56:31: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:31: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 6.00, 0.20) m/s
11:56:31: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:32: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (1.82, 5.45, 0.18) m/s
11:56:32: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:32: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (3.33, 5.00, 0.17) m/s
11:56:33: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:33: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (4.62, 4.62, 0.15) m/s
11:56:33: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:33: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (4.29, 2.86, 0.14) m/s
11:56:34: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:34: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (4.00, 1.33, 0.13) m/s
11:56:34: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:34: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (3.75, 0.00, 0.12) m/s
11:56:35: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:35: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (2.35, 0.00, 0.12) m/s
11:56:35: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:35: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (1.11, 0.00, 0.11) m/s
11:56:36: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:36: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 0.11) m/s
11:56:36: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:36: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 1.00, 0.10) m/s
11:56:37: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:37: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 1.90, 0.10) m/s
11:56:37: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:37: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 2.73, 0.09) m/s
11:56:38: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:38: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.87, 2.61, 0.09) m/s
11:56:38: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:38: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (1.67, 2.50, 0.08) m/s
11:56:39: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:39: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (2.40, 2.40, 0.08) m/s
11:56:39: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:39: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (2.31, 1.54, 0.08) m/s
11:56:40: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:40: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (2.22, 0.74, 0.07) m/s
11:56:40: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:40: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (2.14, 0.00, 0.07) m/s
11:56:41: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:41: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (1.38, 0.00, 0.07) m/s
11:56:41: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:41: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.67, 0.00, 0.07) m/s
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 89] Average velocity: (0.00, 0.00, 0.06) m/s
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
11:56:42: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Received telemetry
