13:20:35: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
13:20:35: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 57] HeartbeatReceiver created
13:20:35: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 60] Connected to drone
13:20:36: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:37: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:38: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:39: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:40: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 2 heartbeats missed
13:20:41: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 3 heartbeats missed
13:20:42: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 4 heartbeats missed
13:20:43: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 5 heartbeats missed
13:20:43: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 68] 5 missed heartbeats - Disconnected from drone
13:20:47: [INFO] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 60] Connected to drone
13:20:48: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:49: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:50: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:52: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:54: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 1 heartbeats missed
13:20:55: [WARNING] [C:\Users\xiama\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] 2 heartbeats missed
